Costeño con Cuernos,Taurus/Indicus hybrid,Colombia,Meat,—,Draught,—,,,,,
Crioulo Lageano,—,—,—,—,—,—,,,,,
Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other,Image2,,,,
Dajal cattle,Indicus,Pakistan,Meat,Dairy,Draught,—,,,,,
Dangi cattle,Indicus,India,—,—,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Dangi_02.JPG/800px-Dangi_02.JPG     ,,,,
Danish Black-Pied,—,Denmark,—,—,—,—,,,,,
Danish Jersey,Taurus,Denmark,—,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Jerseykvaeg.jpg/800px-Jerseykvaeg.jpg     ,,,,
Danish Red,Taurus,Denmark,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/R%C3%B8d_dansk_malkerace_RDM.jpg/800px-R%C3%B8d_dansk_malkerace_RDM.jpg     ,,,,
Deep Red cattle,Taurus,—,Meat,Dairy,—,—,,,,,
Deoni,Indicus,India,—,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Deoni_01.JPG/800px-Deoni_01.JPG     ,,,,
Devon,Taurus,England,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/9/98/Red_Devon_bull.jpg     ,,,,
Dexter cattle,Taurus,Ireland,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Dexter_cow%2C_Three_Counties_Show.jpg/800px-Dexter_cow%2C_Three_Counties_Show.jpg     ,,,,
Dhanni,Indicus,Pakistan,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/c/c8/Dhanni_Cattle_Male.jpg     ,,,,
Doayo cattle,Taurus,Cameroon,—,—,—,—,,,,,
Doela,—,—,—,—,—,—,,,,,
Drakensberger,Taurus,South Africa,Meat,Dairy,—,—,,,,,
Dølafe,Taurus,Norway,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/2/29/D%C3%B8lafe.jpg     ,,,,
Droughtmaster,Taurus/Indicus hybrid,Australia,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Droughtmaster.jpg/800px-Droughtmaster.jpg     ,,,,
Dulong',Taurus,—,Meat,—,Draught,—,,,,,
Dutch Friesian,Taurus,Netherlands,Meat,Dairy,—,—,,,,,
